Overriding config with config/gpt3-small-like-withdrop32b128b.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 20
log_interval = 1 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = True # override via command line if you like
wandb_project = 'data309gptnew'
wandb_run_name = 'Gpt3likewithdrop32batch128block'

dataset = 'lyrics'
gradient_accumulation_steps = 1
batch_size = 32 # TO BE PROPERLY DETERMINED
block_size = 128 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 12
n_head = 12
n_embd = 768
dropout = 0.1

learning_rate = 6.0e-4 # with baby networks can afford to go a bit higher
max_iters = 4000
lr_decay_iters = 4000# make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
device = 'cuda' 
# compile = False # do not torch compile the model

Overriding: device = cuda
Overriding: compile = True
tokens per iteration will be: 4,096
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 123.59M
num decayed parameter tensors: 50, with 123,666,432 parameters
num non-decayed parameter tensors: 25, with 19,200 parameters
iter 1083: loss 4.2943, time 169.30ms, mfu 5.85%
iter 1084: loss 4.2222, time 170.74ms, mfu 5.84%
iter 1085: loss 4.1090, time 169.51ms, mfu 5.84%
iter 1086: loss 4.1273, time 167.15ms, mfu 5.85%
iter 1087: loss 4.2705, time 172.66ms, mfu 5.84%
iter 1088: loss 4.1386, time 168.88ms, mfu 5.85%
iter 1089: loss 4.5379, time 169.60ms, mfu 5.85%
iter 1090: loss 4.4044, time 168.43ms, mfu 5.85%
iter 1091: loss 4.1706, time 166.68ms, mfu 5.86%
iter 1092: loss 4.1417, time 173.77ms, mfu 5.85%
iter 1093: loss 4.2684, time 170.63ms, mfu 5.84%
iter 1094: loss 4.1133, time 167.76ms, mfu 5.85%
iter 1095: loss 4.3441, time 171.86ms, mfu 5.84%
iter 1096: loss 4.2438, time 170.18ms, mfu 5.84%
iter 1097: loss 4.1807, time 164.02ms, mfu 5.86%
iter 1098: loss 4.2407, time 177.69ms, mfu 5.83%
iter 1099: loss 4.2507, time 164.43ms, mfu 5.85%
iter 1100: loss 4.2217, time 173.73ms, mfu 5.84%
iter 1101: loss 4.1583, time 169.76ms, mfu 5.84%
iter 1102: loss 4.2435, time 169.87ms, mfu 5.84%
iter 1103: loss 4.2856, time 168.83ms, mfu 5.84%
iter 1104: loss 4.2585, time 168.89ms, mfu 5.85%
iter 1105: loss 4.0997, time 172.54ms, mfu 5.84%
iter 1106: loss 4.3811, time 168.28ms, mfu 5.84%
iter 1107: loss 4.3925, time 169.28ms, mfu 5.84%
iter 1108: loss 4.3214, time 171.17ms, mfu 5.84%
iter 1109: loss 4.2435, time 162.97ms, mfu 5.86%
iter 1110: loss 4.4248, time 173.09ms, mfu 5.85%
iter 1111: loss 4.2369, time 169.51ms, mfu 5.85%
iter 1112: loss 4.2485, time 170.85ms, mfu 5.85%
iter 1113: loss 4.1516, time 170.98ms, mfu 5.84%
iter 1114: loss 4.2330, time 169.83ms, mfu 5.84%
iter 1115: loss 4.2850, time 161.03ms, mfu 5.87%
iter 1116: loss 3.9243, time 171.69ms, mfu 5.86%
iter 1117: loss 4.3111, time 171.98ms, mfu 5.85%
iter 1118: loss 4.1618, time 171.35ms, mfu 5.85%
iter 1119: loss 4.3938, time 171.60ms, mfu 5.84%
iter 1120: loss 4.0528, time 165.01ms, mfu 5.86%
iter 1121: loss 4.1886, time 170.00ms, mfu 5.86%
iter 1122: loss 4.4332, time 169.60ms, mfu 5.86%
iter 1123: loss 4.3170, time 174.34ms, mfu 5.84%
iter 1124: loss 4.0701, time 170.14ms, mfu 5.84%
iter 1125: loss 4.2474, time 168.51ms, mfu 5.84%
iter 1126: loss 4.5587, time 169.25ms, mfu 5.85%
iter 1127: loss 4.2031, time 170.88ms, mfu 5.84%
iter 1128: loss 4.2009, time 168.82ms, mfu 5.84%
iter 1129: loss 4.1575, time 169.12ms, mfu 5.85%
iter 1130: loss 4.3083, time 171.75ms, mfu 5.84%
iter 1131: loss 4.0466, time 164.82ms, mfu 5.86%
iter 1132: loss 4.1658, time 172.68ms, mfu 5.85%
iter 1133: loss 4.0060, time 169.28ms, mfu 5.85%
iter 1134: loss 4.0936, time 171.01ms, mfu 5.84%
iter 1135: loss 4.2168, time 170.63ms, mfu 5.84%
iter 1136: loss 4.2045, time 167.75ms, mfu 5.85%
iter 1137: loss 4.4283, time 168.84ms, mfu 5.85%
iter 1138: loss 4.2037, time 169.79ms, mfu 5.85%
iter 1139: loss 4.5535, time 167.91ms, mfu 5.86%
iter 1140: loss 4.3420, time 172.04ms, mfu 5.85%
iter 1141: loss 4.2157, time 166.79ms, mfu 5.86%
iter 1142: loss 4.3135, time 171.30ms, mfu 5.85%
iter 1143: loss 4.1774, time 171.34ms, mfu 5.84%
iter 1144: loss 4.5414, time 171.63ms, mfu 5.84%
iter 1145: loss 4.0492, time 169.14ms, mfu 5.84%
iter 1146: loss 4.4060, time 169.00ms, mfu 5.84%
iter 1147: loss 4.0117, time 167.42ms, mfu 5.85%
iter 1148: loss 3.9245, time 172.24ms, mfu 5.84%
iter 1149: loss 4.3556, time 167.74ms, mfu 5.85%
iter 1150: loss 4.1848, time 168.94ms, mfu 5.85%
iter 1151: loss 4.3262, time 173.41ms, mfu 5.84%
iter 1152: loss 4.0361, time 168.44ms, mfu 5.84%
iter 1153: loss 4.5679, time 166.32ms, mfu 5.86%
iter 1154: loss 3.9194, time 171.02ms, mfu 5.85%
iter 1155: loss 4.3444, time 170.74ms, mfu 5.85%
iter 1156: loss 4.0210, time 164.82ms, mfu 5.86%
iter 1157: loss 4.2112, time 171.99ms, mfu 5.85%
iter 1158: loss 3.9523, time 172.12ms, mfu 5.85%
iter 1159: loss 4.1238, time 169.56ms, mfu 5.85%
iter 1160: loss 4.2292, time 169.21ms, mfu 5.85%
iter 1161: loss 4.3546, time 170.89ms, mfu 5.84%
iter 1162: loss 4.1891, time 163.42ms, mfu 5.87%
iter 1163: loss 4.0069, time 174.99ms, mfu 5.85%
iter 1164: loss 4.0635, time 170.21ms, mfu 5.84%
iter 1165: loss 4.0226, time 169.41ms, mfu 5.85%
iter 1166: loss 4.3784, time 170.30ms, mfu 5.84%
iter 1167: loss 4.3811, time 170.46ms, mfu 5.84%
iter 1168: loss 4.0650, time 170.27ms, mfu 5.84%
iter 1169: loss 4.3403, time 165.67ms, mfu 5.85%
iter 1170: loss 3.9229, time 173.57ms, mfu 5.84%
iter 1171: loss 4.3450, time 169.21ms, mfu 5.84%
iter 1172: loss 4.1726, time 169.56ms, mfu 5.84%
iter 1173: loss 4.2589, time 171.06ms, mfu 5.84%
iter 1174: loss 4.3030, time 166.87ms, mfu 5.85%
iter 1175: loss 3.9289, time 171.85ms, mfu 5.84%
iter 1176: loss 4.0583, time 170.58ms, mfu 5.84%
iter 1177: loss 4.2639, time 167.87ms, mfu 5.85%
iter 1178: loss 4.0105, time 171.59ms, mfu 5.84%
iter 1179: loss 4.2513, time 170.35ms, mfu 5.84%
iter 1180: loss 4.1281, time 167.26ms, mfu 5.85%
iter 1181: loss 4.1478, time 169.62ms, mfu 5.85%
iter 1182: loss 4.3711, time 172.55ms, mfu 5.84%
iter 1183: loss 4.1772, time 167.99ms, mfu 5.84%
iter 1184: loss 4.2883, time 170.34ms, mfu 5.84%
iter 1185: loss 4.2599, time 171.99ms, mfu 5.84%
iter 1186: loss 4.1359, time 164.19ms, mfu 5.86%
iter 1187: loss 4.3613, time 168.98ms, mfu 5.86%
iter 1188: loss 4.2752, time 174.65ms, mfu 5.84%
iter 1189: loss 3.9299, time 170.51ms, mfu 5.84%
iter 1190: loss 4.1054, time 170.24ms, mfu 5.84%
iter 1191: loss 3.9252, time 171.55ms, mfu 5.83%
iter 1192: loss 4.1654, time 165.45ms, mfu 5.85%
iter 1193: loss 4.2577, time 165.00ms, mfu 5.86%
iter 1194: loss 4.2397, time 173.63ms, mfu 5.85%
iter 1195: loss 4.2852, time 170.67ms, mfu 5.85%
iter 1196: loss 4.2485, time 170.73ms, mfu 5.84%
iter 1197: loss 4.0069, time 170.47ms, mfu 5.84%
iter 1198: loss 4.2958, time 164.01ms, mfu 5.86%
iter 1199: loss 3.9978, time 173.84ms, mfu 5.85%
iter 1200: loss 4.0722, time 170.31ms, mfu 5.84%
iter 1201: loss 4.2782, time 171.47ms, mfu 5.84%
iter 1202: loss 4.2650, time 168.92ms, mfu 5.84%
iter 1203: loss 4.2777, time 164.54ms, mfu 5.86%
iter 1204: loss 4.3095, time 174.09ms, mfu 5.84%
iter 1205: loss 4.1038, time 166.57ms, mfu 5.86%
iter 1206: loss 4.0338, time 173.03ms, mfu 5.84%
iter 1207: loss 4.0310, time 171.87ms, mfu 5.84%
iter 1208: loss 4.2277, time 171.30ms, mfu 5.83%
iter 1209: loss 4.0551, time 165.55ms, mfu 5.85%
iter 1210: loss 4.2607, time 171.27ms, mfu 5.84%
iter 1211: loss 4.2551, time 166.15ms, mfu 5.85%
iter 1212: loss 4.0626, time 172.23ms, mfu 5.85%
iter 1213: loss 4.2611, time 169.89ms, mfu 5.84%
iter 1214: loss 4.2981, time 172.14ms, mfu 5.84%
iter 1215: loss 4.0258, time 164.06ms, mfu 5.86%
iter 1216: loss 4.3995, time 174.36ms, mfu 5.84%
iter 1217: loss 4.6157, time 166.21ms, mfu 5.85%
iter 1218: loss 3.9757, time 172.09ms, mfu 5.84%
iter 1219: loss 4.1126, time 171.75ms, mfu 5.84%
iter 1220: loss 4.0199, time 171.07ms, mfu 5.83%
iter 1221: loss 4.0223, time 164.06ms, mfu 5.86%
iter 1222: loss 4.0745, time 175.26ms, mfu 5.84%
iter 1223: loss 4.1341, time 167.70ms, mfu 5.84%
iter 1224: loss 4.1629, time 171.91ms, mfu 5.84%
iter 1225: loss 4.1787, time 168.85ms, mfu 5.84%
iter 1226: loss 4.0446, time 171.15ms, mfu 5.84%
iter 1227: loss 4.3628, time 169.28ms, mfu 5.84%
iter 1228: loss 4.1049, time 170.86ms, mfu 5.84%
iter 1229: loss 4.4369, time 165.70ms, mfu 5.85%
iter 1230: loss 4.2203, time 173.99ms, mfu 5.84%
iter 1231: loss 4.1725, time 170.50ms, mfu 5.83%
iter 1232: loss 3.9605, time 170.97ms, mfu 5.83%
iter 1233: loss 4.1680, time 165.88ms, mfu 5.85%
iter 1234: loss 4.0895, time 169.95ms, mfu 5.84%
iter 1235: loss 4.2181, time 168.21ms, mfu 5.85%
iter 1236: loss 4.0783, time 172.00ms, mfu 5.84%
iter 1237: loss 4.1901, time 172.80ms, mfu 5.83%
iter 1238: loss 4.3087, time 171.15ms, mfu 5.83%
iter 1239: loss 4.2726, time 164.23ms, mfu 5.85%
iter 1240: loss 3.8973, time 172.09ms, mfu 5.84%
iter 1241: loss 4.0607, time 165.93ms, mfu 5.85%
iter 1242: loss 4.4469, time 172.71ms, mfu 5.84%
iter 1243: loss 4.0842, time 170.07ms, mfu 5.84%
iter 1244: loss 3.9422, time 171.35ms, mfu 5.84%
iter 1245: loss 4.1452, time 169.01ms, mfu 5.84%
iter 1246: loss 4.2597, time 170.68ms, mfu 5.84%
iter 1247: loss 4.0883, time 169.65ms, mfu 5.84%
iter 1248: loss 4.1669, time 170.28ms, mfu 5.84%
iter 1249: loss 4.0427, time 170.44ms, mfu 5.84%
step 1250: train loss 4.1168, val loss 3.9420
saving checkpoint to out
iter 1250: loss 4.2617, time 5912.57ms, mfu 5.27%
iter 1251: loss 4.1684, time 189.87ms, mfu 5.26%
iter 1252: loss 4.0921, time 169.12ms, mfu 5.32%
iter 1253: loss 4.1661, time 170.03ms, mfu 5.38%
iter 1254: loss 4.2840, time 170.81ms, mfu 5.42%
iter 1255: loss 4.4971, time 165.87ms, mfu 5.48%
iter 1256: loss 4.0627, time 171.59ms, mfu 5.51%
iter 1257: loss 4.3412, time 171.56ms, mfu 5.53%
iter 1258: loss 3.9426, time 168.06ms, mfu 5.57%
iter 1259: loss 4.1149, time 171.60ms, mfu 5.59%
iter 1260: loss 4.0386, time 169.54ms, mfu 5.62%
iter 1261: loss 4.2248, time 163.54ms, mfu 5.66%
iter 1262: loss 4.1411, time 175.93ms, mfu 5.66%
iter 1263: loss 4.1979, time 168.78ms, mfu 5.68%
iter 1264: loss 4.1741, time 170.35ms, mfu 5.70%
iter 1265: loss 4.2567, time 169.56ms, mfu 5.71%
iter 1266: loss 4.0877, time 168.40ms, mfu 5.73%
iter 1267: loss 4.1564, time 168.92ms, mfu 5.74%
iter 1268: loss 4.1121, time 169.70ms, mfu 5.75%
iter 1269: loss 4.1615, time 170.10ms, mfu 5.76%
iter 1270: loss 3.7972, time 172.27ms, mfu 5.76%
iter 1271: loss 4.2954, time 168.33ms, mfu 5.77%
iter 1272: loss 3.9374, time 163.98ms, mfu 5.80%
iter 1273: loss 4.0161, time 170.14ms, mfu 5.81%
iter 1274: loss 4.1985, time 173.42ms, mfu 5.80%
iter 1275: loss 4.3370, time 170.30ms, mfu 5.80%
iter 1276: loss 3.9985, time 164.31ms, mfu 5.82%
iter 1277: loss 3.8707, time 173.76ms, mfu 5.81%
iter 1278: loss 4.1340, time 169.23ms, mfu 5.82%
iter 1279: loss 4.0807, time 170.36ms, mfu 5.82%
iter 1280: loss 4.2661, time 170.71ms, mfu 5.82%
iter 1281: loss 4.1022, time 169.61ms, mfu 5.82%
iter 1282: loss 4.3251, time 164.02ms, mfu 5.84%
iter 1283: loss 4.4112, time 173.79ms, mfu 5.83%
iter 1284: loss 4.2328, time 169.93ms, mfu 5.83%
iter 1285: loss 4.0362, time 170.43ms, mfu 5.83%
iter 1286: loss 3.9217, time 170.79ms, mfu 5.83%
iter 1287: loss 4.3377, time 165.60ms, mfu 5.84%
iter 1288: loss 4.2678, time 167.57ms, mfu 5.85%
iter 1289: loss 4.0061, time 176.54ms, mfu 5.83%
iter 1290: loss 4.3279, time 168.65ms, mfu 5.83%
iter 1291: loss 4.2377, time 169.99ms, mfu 5.83%
iter 1292: loss 4.1533, time 171.31ms, mfu 5.83%
iter 1293: loss 3.9321, time 164.24ms, mfu 5.85%
iter 1294: loss 4.0862, time 168.82ms, mfu 5.85%
iter 1295: loss 4.2263, time 173.41ms, mfu 5.84%
iter 1296: loss 4.3017, time 170.43ms, mfu 5.84%
iter 1297: loss 4.2240, time 166.87ms, mfu 5.85%
iter 1298: loss 4.1700, time 170.34ms, mfu 5.85%
iter 1299: loss 3.9027, time 169.08ms, mfu 5.85%
iter 1300: loss 4.1399, time 168.45ms, mfu 5.85%
iter 1301: loss 3.9340, time 172.47ms, mfu 5.84%
iter 1302: loss 4.0224, time 170.77ms, mfu 5.84%
iter 1303: loss 4.1672, time 167.63ms, mfu 5.85%
iter 1304: loss 4.6637, time 169.56ms, mfu 5.85%
iter 1305: loss 3.9887, time 169.14ms, mfu 5.85%
iter 1306: loss 4.1172, time 170.93ms, mfu 5.84%
iter 1307: loss 4.4464, time 170.72ms, mfu 5.84%
iter 1308: loss 3.9586, time 171.65ms, mfu 5.84%
iter 1309: loss 3.9640, time 167.37ms, mfu 5.84%
iter 1310: loss 4.1680, time 168.75ms, mfu 5.85%
iter 1311: loss 3.9139, time 168.88ms, mfu 5.85%
iter 1312: loss 4.2394, time 171.61ms, mfu 5.84%
iter 1313: loss 3.9776, time 168.66ms, mfu 5.85%
iter 1314: loss 3.7978, time 171.79ms, mfu 5.84%
iter 1315: loss 4.0494, time 163.16ms, mfu 5.86%
iter 1316: loss 3.9982, time 170.32ms, mfu 5.86%
iter 1317: loss 4.1624, time 170.85ms, mfu 5.85%
iter 1318: loss 4.2798, time 173.62ms, mfu 5.84%
iter 1319: loss 4.1703, time 168.38ms, mfu 5.85%
iter 1320: loss 4.1886, time 172.44ms, mfu 5.84%
iter 1321: loss 4.2488, time 167.04ms, mfu 5.85%
iter 1322: loss 4.0668, time 170.35ms, mfu 5.84%
iter 1323: loss 4.1302, time 169.67ms, mfu 5.84%
iter 1324: loss 4.2333, time 170.58ms, mfu 5.84%
iter 1325: loss 3.8620, time 167.64ms, mfu 5.85%
iter 1326: loss 4.2460, time 170.39ms, mfu 5.85%
iter 1327: loss 4.2429, time 172.30ms, mfu 5.84%
iter 1328: loss 4.1402, time 168.39ms, mfu 5.84%
iter 1329: loss 4.0011, time 169.46ms, mfu 5.84%
iter 1330: loss 4.2908, time 171.24ms, mfu 5.84%
iter 1331: loss 4.1111, time 164.97ms, mfu 5.86%
iter 1332: loss 4.0112, time 174.90ms, mfu 5.84%
iter 1333: loss 4.4302, time 163.36ms, mfu 5.86%
iter 1334: loss 3.9622, time 171.12ms, mfu 5.86%
iter 1335: loss 4.1572, time 171.91ms, mfu 5.85%
iter 1336: loss 3.8942, time 171.48ms, mfu 5.84%
iter 1337: loss 4.1854, time 170.43ms, mfu 5.84%
iter 1338: loss 3.9987, time 168.69ms, mfu 5.84%
iter 1339: loss 3.9067, time 169.59ms, mfu 5.84%
iter 1340: loss 4.0187, time 168.53ms, mfu 5.85%
iter 1341: loss 4.1709, time 171.27ms, mfu 5.84%
iter 1342: loss 4.1301, time 170.34ms, mfu 5.84%
iter 1343: loss 4.2109, time 162.52ms, mfu 5.87%
iter 1344: loss 4.4483, time 175.57ms, mfu 5.85%
iter 1345: loss 4.2640, time 168.57ms, mfu 5.85%
iter 1346: loss 4.3649, time 170.80ms, mfu 5.85%
iter 1347: loss 4.0943, time 169.65ms, mfu 5.85%
iter 1348: loss 4.0441, time 171.79ms, mfu 5.84%
iter 1349: loss 4.1888, time 161.97ms, mfu 5.87%
iter 1350: loss 4.2079, time 174.70ms, mfu 5.85%
iter 1351: loss 4.1760, time 169.36ms, mfu 5.85%
iter 1352: loss 3.9173, time 168.83ms, mfu 5.85%
iter 1353: loss 3.9891, time 171.10ms, mfu 5.85%
iter 1354: loss 3.9367, time 172.16ms, mfu 5.84%
iter 1355: loss 3.8707, time 164.89ms, mfu 5.86%
iter 1356: loss 4.2064, time 172.51ms, mfu 5.85%
iter 1357: loss 4.0682, time 169.86ms, mfu 5.84%
iter 1358: loss 4.0958, time 170.82ms, mfu 5.84%
iter 1359: loss 4.2095, time 170.51ms, mfu 5.84%
iter 1360: loss 4.0438, time 171.09ms, mfu 5.83%
iter 1361: loss 4.2108, time 165.09ms, mfu 5.85%
iter 1362: loss 3.9522, time 172.46ms, mfu 5.84%
iter 1363: loss 4.1421, time 168.74ms, mfu 5.85%
iter 1364: loss 4.1421, time 170.66ms, mfu 5.84%
iter 1365: loss 4.1046, time 172.61ms, mfu 5.83%
iter 1366: loss 4.1386, time 170.62ms, mfu 5.83%
iter 1367: loss 4.2401, time 165.74ms, mfu 5.85%
iter 1368: loss 4.2104, time 171.13ms, mfu 5.84%
iter 1369: loss 4.0079, time 169.70ms, mfu 5.84%
iter 1370: loss 4.0373, time 170.40ms, mfu 5.84%
iter 1371: loss 4.0123, time 169.83ms, mfu 5.84%
iter 1372: loss 4.0446, time 170.85ms, mfu 5.84%
iter 1373: loss 4.0727, time 162.34ms, mfu 5.86%
iter 1374: loss 4.5785, time 175.22ms, mfu 5.84%
iter 1375: loss 4.1732, time 169.12ms, mfu 5.85%
iter 1376: loss 4.0726, time 169.45ms, mfu 5.85%
iter 1377: loss 3.9360, time 173.04ms, mfu 5.84%
iter 1378: loss 4.0712, time 168.42ms, mfu 5.84%
iter 1379: loss 4.0416, time 163.02ms, mfu 5.87%
iter 1380: loss 4.1852, time 175.57ms, mfu 5.84%
iter 1381: loss 4.1240, time 168.50ms, mfu 5.85%
iter 1382: loss 4.1473, time 170.59ms, mfu 5.85%
iter 1383: loss 3.9893, time 171.09ms, mfu 5.84%
iter 1384: loss 4.0096, time 172.54ms, mfu 5.83%
iter 1385: loss 4.1533, time 164.49ms, mfu 5.85%
iter 1386: loss 4.0962, time 171.25ms, mfu 5.85%
iter 1387: loss 4.0752, time 168.99ms, mfu 5.85%
iter 1388: loss 4.2437, time 171.11ms, mfu 5.84%
iter 1389: loss 4.2359, time 171.04ms, mfu 5.84%
iter 1390: loss 4.1532, time 161.73ms, mfu 5.87%
iter 1391: loss 3.9456, time 169.95ms, mfu 5.87%
iter 1392: loss 4.1360, time 174.16ms, mfu 5.85%
iter 1393: loss 4.2267, time 170.04ms, mfu 5.85%
iter 1394: loss 4.0620, time 170.63ms, mfu 5.84%
iter 1395: loss 3.9338, time 170.58ms, mfu 5.84%
iter 1396: loss 4.0730, time 166.69ms, mfu 5.85%
iter 1397: loss 4.1000, time 167.74ms, mfu 5.86%
iter 1398: loss 3.9815, time 173.44ms, mfu 5.84%
iter 1399: loss 4.2040, time 170.04ms, mfu 5.84%
iter 1400: loss 4.1601, time 170.22ms, mfu 5.84%
iter 1401: loss 4.1425, time 172.22ms, mfu 5.83%
iter 1402: loss 4.0247, time 161.45ms, mfu 5.86%
iter 1403: loss 3.9669, time 170.86ms, mfu 5.86%
iter 1404: loss 4.1478, time 174.59ms, mfu 5.84%
iter 1405: loss 4.0619, time 169.52ms, mfu 5.84%
iter 1406: loss 4.2292, time 170.62ms, mfu 5.84%
iter 1407: loss 4.3131, time 170.67ms, mfu 5.84%
iter 1408: loss 4.1488, time 167.10ms, mfu 5.85%
iter 1409: loss 4.3550, time 165.70ms, mfu 5.86%
iter 1410: loss 4.0885, time 174.18ms, mfu 5.84%
iter 1411: loss 4.0163, time 170.62ms, mfu 5.84%
iter 1412: loss 4.3135, time 171.45ms, mfu 5.84%
iter 1413: loss 4.2029, time 169.38ms, mfu 5.84%
iter 1414: loss 4.2869, time 163.45ms, mfu 5.86%
iter 1415: loss 4.1473, time 174.31ms, mfu 5.84%
iter 1416: loss 4.3699, time 170.90ms, mfu 5.84%
iter 1417: loss 4.1296, time 169.89ms, mfu 5.84%
iter 1418: loss 4.2506, time 169.67ms, mfu 5.84%
iter 1419: loss 4.0341, time 165.82ms, mfu 5.86%
iter 1420: loss 3.9125, time 170.90ms, mfu 5.85%
iter 1421: loss 3.9106, time 170.41ms, mfu 5.85%
iter 1422: loss 4.3761, time 172.52ms, mfu 5.84%
iter 1423: loss 4.1553, time 169.91ms, mfu 5.84%
iter 1424: loss 4.2703, time 171.01ms, mfu 5.83%
iter 1425: loss 4.3201, time 166.35ms, mfu 5.85%
iter 1426: loss 4.0649, time 170.02ms, mfu 5.85%
iter 1427: loss 4.1540, time 169.67ms, mfu 5.85%
iter 1428: loss 3.8564, time 170.86ms, mfu 5.84%
iter 1429: loss 4.1861, time 166.34ms, mfu 5.85%
iter 1430: loss 4.1587, time 170.68ms, mfu 5.85%
iter 1431: loss 4.1497, time 169.53ms, mfu 5.85%
iter 1432: loss 3.9628, time 169.94ms, mfu 5.85%
iter 1433: loss 4.1895, time 166.73ms, mfu 5.86%
iter 1434: loss 4.1373, time 172.70ms, mfu 5.85%
iter 1435: loss 3.8648, time 165.84ms, mfu 5.86%
iter 1436: loss 4.1421, time 171.48ms, mfu 5.85%
iter 1437: loss 3.8557, time 169.48ms, mfu 5.85%
iter 1438: loss 4.1967, time 170.73ms, mfu 5.85%
iter 1439: loss 4.4106, time 169.81ms, mfu 5.85%
iter 1440: loss 4.3797, time 163.32ms, mfu 5.87%
iter 1441: loss 3.9065, time 174.90ms, mfu 5.85%
iter 1442: loss 4.0401, time 172.10ms, mfu 5.84%
iter 1443: loss 4.1527, time 167.45ms, mfu 5.85%
iter 1444: loss 4.1335, time 167.26ms, mfu 5.86%
iter 1445: loss 4.1619, time 174.12ms, mfu 5.84%
iter 1446: loss 4.0315, time 164.52ms, mfu 5.86%
iter 1447: loss 4.2064, time 173.53ms, mfu 5.85%
iter 1448: loss 4.1400, time 168.94ms, mfu 5.85%
iter 1449: loss 3.6534, time 168.43ms, mfu 5.85%
iter 1450: loss 4.0634, time 165.31ms, mfu 5.87%
iter 1451: loss 4.0958, time 177.96ms, mfu 5.84%
iter 1452: loss 4.1615, time 166.04ms, mfu 5.85%
iter 1453: loss 4.1025, time 170.97ms, mfu 5.85%
iter 1454: loss 3.9881, time 169.84ms, mfu 5.85%
iter 1455: loss 3.9827, time 171.16ms, mfu 5.84%
iter 1456: loss 3.8131, time 163.80ms, mfu 5.86%
iter 1457: loss 4.3942, time 173.72ms, mfu 5.85%
iter 1458: loss 4.1324, time 169.51ms, mfu 5.85%
iter 1459: loss 4.3173, time 170.19ms, mfu 5.85%
iter 1460: loss 4.1432, time 171.04ms, mfu 5.84%
iter 1461: loss 4.0116, time 171.15ms, mfu 5.84%
iter 1462: loss 4.2639, time 170.64ms, mfu 5.84%
iter 1463: loss 3.9784, time 165.89ms, mfu 5.85%
iter 1464: loss 4.1342, time 170.56ms, mfu 5.85%
iter 1465: loss 4.3178, time 169.65ms, mfu 5.85%
iter 1466: loss 4.0580, time 172.20ms, mfu 5.84%
iter 1467: loss 3.9597, time 164.26ms, mfu 5.86%
iter 1468: loss 4.1114, time 174.31ms, mfu 5.84%
iter 1469: loss 4.0469, time 162.96ms, mfu 5.87%
iter 1470: loss 3.7701, time 170.93ms, mfu 5.86%
iter 1471: loss 4.0383, time 173.49ms, mfu 5.85%
iter 1472: loss 4.0989, time 170.81ms, mfu 5.84%
iter 1473: loss 4.0376, time 164.01ms, mfu 5.86%
iter 1474: loss 3.8009, time 173.38ms, mfu 5.85%
iter 1475: loss 4.2295, time 165.62ms, mfu 5.86%
iter 1476: loss 3.8275, time 170.52ms, mfu 5.86%
iter 1477: loss 4.1240, time 173.66ms, mfu 5.84%
iter 1478: loss 4.0004, time 169.20ms, mfu 5.85%
iter 1479: loss 4.1801, time 163.89ms, mfu 5.87%
iter 1480: loss 4.3682, time 174.58ms, mfu 5.85%
iter 1481: loss 4.4683, time 172.72ms, mfu 5.84%
iter 1482: loss 4.1940, time 169.20ms, mfu 5.84%
iter 1483: loss 3.9768, time 169.39ms, mfu 5.84%
iter 1484: loss 4.1879, time 170.74ms, mfu 5.84%
iter 1485: loss 4.2139, time 165.25ms, mfu 5.86%
iter 1486: loss 3.9332, time 172.71ms, mfu 5.84%
iter 1487: loss 4.0008, time 169.26ms, mfu 5.85%
iter 1488: loss 4.2716, time 168.86ms, mfu 5.85%
iter 1489: loss 3.8990, time 171.35ms, mfu 5.84%
iter 1490: loss 3.9993, time 170.74ms, mfu 5.84%
iter 1491: loss 3.8185, time 163.48ms, mfu 5.86%
iter 1492: loss 4.0839, time 174.90ms, mfu 5.84%
iter 1493: loss 4.2529, time 168.07ms, mfu 5.85%
iter 1494: loss 4.1771, time 171.26ms, mfu 5.84%
iter 1495: loss 4.0080, time 170.66ms, mfu 5.84%
iter 1496: loss 4.2185, time 170.00ms, mfu 5.84%
iter 1497: loss 4.2073, time 165.34ms, mfu 5.86%
iter 1498: loss 4.0108, time 173.55ms, mfu 5.84%
iter 1499: loss 3.9842, time 170.82ms, mfu 5.84%
step 1500: train loss 4.0337, val loss 3.8697
saving checkpoint to out
iter 1500: loss 4.1078, time 6365.06ms, mfu 5.27%
iter 1501: loss 3.8403, time 190.87ms, mfu 5.26%
iter 1502: loss 3.8682, time 170.70ms, mfu 5.32%
iter 1503: loss 3.7108, time 168.34ms, mfu 5.38%
iter 1504: loss 4.0921, time 169.27ms, mfu 5.42%
iter 1505: loss 4.1595, time 170.26ms, mfu 5.46%
iter 1506: loss 4.1101, time 170.35ms, mfu 5.50%
iter 1507: loss 3.7536, time 169.69ms, mfu 5.53%
iter 1508: loss 3.9225, time 170.90ms, mfu 5.56%
iter 1509: loss 3.9294, time 167.59ms, mfu 5.60%
iter 1510: loss 4.2779, time 166.70ms, mfu 5.63%
